excel_sku,excel_name,best_score,best_guess
MI-Gg-S-L- D,Gong Stand - Large Dark,50,
MI-Gg-S-M -D,Gong Stand - Meduim Dark,50,
MI-Gg-S-S-D,Gong Stand - Small Dark,50,
MI-Gg-S-L- L,Gong Stand - Large Light,50,
MI-Gg-S-M-L,Gong Stand - Meduim Light,50,
MI-Gg-S-S-L,Gong Stand - Small Light,50,
MI-Gg-Ch-32,"Gong Tam Tam/ Chow 32""",50,
MI-Gg-Ch-30,"Gong Tam Tam/ Chow 30""",50,
MI-Gg-Ch-25,"Gong Tam Tam/ Chow 25""",50,
MI-Gg-Ch-20,"Gong Tam Tam/ Chow 20""",50,
MI-Gg-Ch-15,"Gong Tam Tam/ Chow 15""",50,
MI-SH-S,Shankh/Conch - Small,66,Shankh/Conch
MI-SH-M,Shankh/Conch - Medium,66,Shankh/Conch
MI-SH-L,Shankh/Conch - Large,66,Shankh/Conch
MI-SHB-O1,Shruti Box- 1 Octave,50,
MI-SHB-O2,Shruti Box- 2 Octave,50,
MI-SHB-O3,Shruti Box- 3 Octave,50,
MI-HM-PP,Harmonium - Professional Portable,33,
MI-HM-PM,Harmonium - Mini Portable,33,
Mi-DJB-M-8,"Dejmbes Mahogany - 8""",0,
Mi-DJB-M-10,"Dejmbes Dark Brown - 10""",25,
Mi-DJB-M-12,"Dejmbes Dark Brown - 12""",0,
Mi-DJB-IV-8,"Dejmbes - Ivory -8""",0,
Mi-DJB-IV-10,"Dejmbes - Ivory -10""",33,
Mi-DJB-IV-12,"Dejmbes - Ivory -12""",0,
Mi-SB-HB-Sl,Hanging Bowl - Single,33,
Mi-SB-HB-Th,Hanging Bowls - Three,66,Hanging Bowls/Zen Drops
Mi-Gg-P-C,Gong Plate C note,25,
Mi-Gg-P-D,Gong Plate D note,25,
Mi-Gg-P-E,Gong Plate E note,25,
Mi-Gg-P-F,Gong Plate F note,25,
Mi-Gg-P-G,Gong Plate G note,25,
Mi-Gg-P-A,Gong Plate A note,25,
Mi-Gg-P-B,Gong Plate B note,25,
Co- MI-Gg-P-Set-S,7 Gong Plates CDEFGAB + Stand,40,
EC-2,Eye Cups-2,33,
Mi-BF-P,Bird Flute Pair,66,Bird Flute
